deformity,mse,bias2,variance,bias_share
varus,6.080678404767571,0.196930726034159,5.883747678733412,3.238630838949729
normal,5.66163269770771,0.2554199572441929,5.406212740463517,4.511418717565477
valgus,9.414899831875431,1.9938068669173727,7.421092964958058,21.177143703293233
