deformity,n,sens,spec,ppv,npv,f1
varus,2007,0.807673143996014,0.8801548886737657,0.7236607142857143,0.921735604217356,0.7633623734400753
normal,4533,0.8323406132803882,0.7673361121636983,0.8600410303168452,0.7271095152603232,0.8459641255605381
valgus,632,0.6139240506329114,0.9759938837920489,0.7119266055045872,0.9631809265127509,0.659303313508921
