deformity,knees,knees_with_image,subjects,hka_mean,hka_sd,hka_min,hka_max,pct
varus,2155,2155,1483,-5.2632428460943546,2.0087495406659084,-16.65,-3.005,28.180986007584675
normal,4822,4822,2967,-0.30757362090418916,1.618372528562526,-3.0,3.0,63.05740813390872
valgus,670,670,532,4.996094527363184,2.0530047219447454,3.01,18.86,8.761605858506604
