deformity,domain,mean_true,dist_to_fixed,bias_implied,bias_observed
varus,in-domain,-5.266572828433815,-2.3780554770781146,0.46023224416384034,0.4437687754159355
normal,OUT-of-domain,-0.31564857710125743,2.572868774254443,-0.49793504875214284,-0.5053908954900087
valgus,OUT-of-domain,4.953974156118144,7.842491507473844,-1.5177810194551595,-1.4120222614808071
