subset,n,n_clusters,mae,rmse,bias,sd,loa_lo,loa_hi,icc,pearson_r,spearman,medae,p95ae,within1,within2,within3,hka_span,mae_lo,mae_hi,bias_lo,bias_hi,sd_lo,sd_hi,rmse_lo,rmse_hi,icc_lo,icc_hi,pearson_r_lo,pearson_r_hi,failure_pct
POOLED,7172,3634,1.4363238208466327,2.47124027044446,-0.3196724855343415,2.450647945810633,-5.122942459323182,4.4835974882544996,0.7536328925633962,0.7581703639440925,0.825997798884873,0.942826290042464,4.132264561779127,52.38427216954824,79.81037367540435,90.15616285554935,35.51,1.3873804654073632,1.4891787943068833,-0.3791251470515071,-0.2600557035205462,2.286226102937067,2.6245479275307604,2.3081201954072292,2.644398448040577,0.724359030755794,0.7813608293188697,0.7304787417491452,0.784824706467675,6.2115862429711
varus,2007,1406,1.4762155464433928,2.4653086605077226,0.4437687754159355,2.4256437658348378,-4.310493005620346,5.198030556452217,0.5009569288841933,0.5391631287091356,0.5899443890711108,0.965864877401839,4.430013231720761,51.469855505729946,78.67463876432487,89.23766816143498,13.645,1.3894257124786284,1.5707976817154543,0.33366720492811014,0.5540254955435745,2.109277157646537,2.738349456833881,2.155470317990106,2.77779072523897,0.4248971712037195,0.5805235392845488,0.470662564618263,0.6095047879222506,6.867749419953596
normal,4533,2851,1.3597105023885623,2.379167935032318,-0.5053908954900087,2.325126392363116,-5.062638624521716,4.051856833541699,0.419809209418617,0.4833980405998574,0.6599564451921456,0.906082698848528,3.6779549689657096,54.11427310831679,81.6015883520847,91.88175601147142,6.0,1.3020025406011542,1.419389423722895,-0.5768590571805928,-0.4339623218221755,2.1092927216888944,2.5295763517261993,2.1637638574217193,2.5835595940232916,0.37214426240169507,0.4720649689990147,0.43918930639592185,0.5292881966442905,5.993363749481543
valgus,632,504,1.8591489463177315,3.0664568472703775,-1.4120222614808071,2.724168307017402,-6.751392143234915,3.9273476202733004,0.41967468908203187,0.5301059157042058,0.5403252202931401,1.183698738666762,5.066680582790958,42.879746835443036,70.56962025316456,80.69620253164557,15.85,1.6564973449195632,2.064526121141892,-1.621040902492719,-1.2049214120463936,2.0860452811843793,3.3447634287037196,2.4458333813636766,3.667702707529158,0.3008190896351889,0.5482445553330462,0.4178550461045448,0.6452603185770371,5.6716417910447765
