subset,n,bias,sd,mae_raw,mae_global,mae_oracle,gain_global_pct,gain_oracle_pct
POOLED,7172,-0.3196724855343415,2.450647945810633,1.4363238208466327,1.4127258825977345,1.4127258825977345,1.6429399767935724,1.6429399767935724
varus,2007,0.4437687754159355,2.4256437658348378,1.4762155464433928,1.553894475026841,1.462787264501476,-5.26203160308114,0.9096423604445384
normal,4533,-0.5053908954900087,2.325126392363116,1.3597105023885623,1.3089543335619245,1.3089469138350562,3.7328658370642853,3.7334115213739385
valgus,632,-1.4120222614808071,2.724168307017402,1.8591489463177315,1.7087244059744875,1.6347563888761873,8.091042981853496,12.06963852390529
