contrast,dmae,lo,hi,p_raw,p_holm,ci_excludes_zero
varus - normal,0.11650504405483053,0.01220343608216867,0.22970513757951455,0.008238173387867703,0.008238173387867703,True
varus - valgus,-0.3829333998743387,-0.6133267611637432,-0.16337938347361672,1.995809889079693e-06,3.991619778159386e-06,True
normal - valgus,-0.49943844392916925,-0.7254707026622469,-0.3017996774282891,8.651303162440669e-12,2.5953909487322006e-11,True
