band,deformity,n,pct,mae,bias,sens,bal_acc,kappa
1.0,varus,3743,52.18906860011154,1.3725249767846237,0.17442250945854995,0.8864547154688752,0.683457481319944,0.568936076984814
1.0,normal,1706,23.786949247071945,1.4020735377579616,-0.6213592452324194,0.4958968347010551,0.683457481319944,0.568936076984814
1.0,valgus,1723,24.023982152816508,1.6088311082949034,-1.0943213272136638,0.6680208937899014,0.683457481319944,0.568936076984814
2.0,varus,2853,39.77969882877858,1.428153466302875,0.3032591104123428,0.8429723098492815,0.738727778126199,0.6084130130930536
2.0,normal,3232,45.06413831567206,1.3454454171131953,-0.555224791878342,0.7255569306930693,0.738727778126199,0.6084130130930536
2.0,valgus,1087,15.15616285554936,1.7279788552346815,-1.2542803872197885,0.6476540938362465,0.738727778126199,0.6084130130930536
3.0,varus,2007,27.98382598996096,1.4762155464433928,0.4437687754159355,0.807673143996014,0.751312602636438,0.6267826749632636
3.0,normal,4533,63.20412716118238,1.3597105023885623,-0.5053908954900087,0.8323406132803882,0.751312602636438,0.6267826749632636
3.0,valgus,632,8.812046848856665,1.8591489463177315,-1.4120222614808071,0.6139240506329114,0.751312602636438,0.6267826749632636
4.0,varus,1376,19.185722253206915,1.6010552385090957,0.6251370962592709,0.748546511627907,0.7335249222224262,0.6166990714610056
4.0,normal,5419,75.55772448410485,1.346858240356692,-0.4650354588841885,0.8949990773205388,0.7335249222224262,0.6166990714610056
4.0,valgus,377,5.256553262688232,2.121054722627635,-1.6786540026833865,0.5570291777188329,0.7335249222224262,0.6166990714610056
5.0,varus,883,12.311767986614612,1.7531857755566318,0.8360373091722629,0.6930917327293318,0.7181841199202976,0.5915113761663986
5.0,normal,6069,84.6207473508087,1.3598219084815601,-0.43131455863289153,0.9296424452133795,0.7181841199202976,0.5915113761663986
5.0,valgus,220,3.067484662576687,2.2749647305498,-1.8784725177653936,0.5318181818181819,0.7181841199202976,0.5915113761663986
