deformity,limbs,radiographs,hka_mean,hka_sd,hka_min,hka_max,pct
varus,59,37,-7.097762830479062,3.4724163719242456,-21.606277516175084,-3.0605317009998885,55.14018691588785
normal,34,26,-0.7377583855295162,1.355374436879567,-2.9158355552654314,1.6999411517242322,31.77570093457944
valgus,14,10,4.803166434704102,1.4824908474194731,3.092974123163515,7.3165179787987995,13.08411214953271
