split,varus,normal,valgus,limbs,hka_mean,hka_min,hka_max
train,43,32,10,85,-3.264448229608047,-21.606277516175084,7.3165179787987995
val,8,0,2,10,-6.164586940444738,-15.01546462761496,5.561682139426836
test,8,2,2,12,-3.1236244249399525,-8.69936766504128,4.648408567345143
