fold,model,sha256,val_images,hemispheres,val_files_sha256,kp_mse,pck_0.005,pck_0.01,pck_0.02,pck_0.05,angle_mae,angle_std,angle_max
1,fold1,d8fc080614798a363ad9c36fbf6dd9783e9b445073fe77e9e3fc58f9644eda32,11,22,8e85c567b3882431ea44ebd6493fb4b09ef206f2ea58ca1d19e4cbacfb922242,6.240052223205566,95.45454382896423,99.24242496490479,100.0,100.0,0.5268306642267511,0.3655742661266965,1.3722189915633232
2,fold2,07104cca50b27ae512f15728b8634c5edebec5bd07cd8a9d70d33f0addf28446,11,21,7749ed44ed53f97e8a12a4643a36757b95def474556fd1141db1ab5b5f99e742,4.331230163574219,94.65649127960205,100.0,100.0,100.0,0.46780498690023103,0.32846679413551544,1.3500754258212702
3,fold3,6779803fd8085cd725e842dbd3d37d5092e818ce4510effd2297d505e3dc4f71,11,22,385b06a40e76d486058b40efecf8f56ceefaf0bbf027f4030e1cf6f7e6620772,4.567257881164551,93.9393937587738,100.0,100.0,100.0,0.4552891493495167,0.2891096810069947,0.903102822322067
4,fold4,a0ab4ebce5f321df63ff6628c0eb950e3c49672f9e3af177e6e70272bc72e657,11,22,302b4a53807f7aff147357e9042a299478908808810e8f8a72bcecb4c529a76e,3.998013496398926,97.72727489471436,100.0,100.0,100.0,0.47150477285414816,0.2873182897195168,1.0271313157730795
5,fold5,083e0649067b29f79a9b060de19e3456d6b07e89ee41bdbe07ca5258463d8663,10,20,4da8a1062b2f9b323914e53d4c4f0c7621cf2ec7f8aff57f76520c8cf238c960,4.698929309844971,95.83333134651184,99.16666746139526,100.0,100.0,0.3440051492152103,0.23773656610748214,0.8252456631521152
