model,role,sha256,knees_total,flagged,flagged_pct,n,mae,rmse,bias,loa_lo,loa_hi,loa_half,icc,pearson_r,spearman_rho,magnitude_r,mae_varus,n_varus,mae_neutral,n_neutral,mae_valgus,n_valgus,common_n,common_mae,common_icc,common_pearson_r,common_bias,common_loa_half
fold1,fold,d8fc080614798a363ad9c36fbf6dd9783e9b445073fe77e9e3fc58f9644eda32,7647,675,8.826990976853669,6972,1.8351368764701042,2.9399342461110938,-0.8292361428736083,-6.357937921027764,4.699465635280548,5.528701778154156,0.6743099264334513,0.695772716950731,0.7626959910419973,0.5684518129899775,1.6674229611887437,1982,1.8231484481992066,4385,2.471464542677609,605,6311,1.6704627923079431,0.7476973066849729,0.7730439578071404,-0.8930580404658505,4.5676220024968135
fold2,fold,07104cca50b27ae512f15728b8634c5edebec5bd07cd8a9d70d33f0addf28446,7647,282,3.687720674774422,7365,1.430594246428115,2.2745165423984446,-0.4981849540759243,-4.848283894917995,3.8519139867661467,4.350098940842071,0.7823313639873327,0.7906239159999204,0.8304541604254897,0.6579465263634969,1.3672719497371522,2070,1.3904961408459304,4645,1.9187986380889495,650,6311,1.2451568472277148,0.86709436306104,0.8774801339908138,-0.4581275143257836,3.2181124043177816
fold3,fold,6779803fd8085cd725e842dbd3d37d5092e818ce4510effd2297d505e3dc4f71,7647,585,7.6500588466065125,7062,1.4889693937549229,2.6011590893941174,-0.5553544933676298,-5.536425450221302,4.425716463486043,4.981070956853673,0.7354990398871688,0.7469822649988024,0.8286695574607178,0.6466413041663034,1.5005040391430209,1992,1.4001074862625429,4447,2.0863881562035975,623,6311,1.33354261964175,0.8105018268207395,0.8204883843273164,-0.5357712883199233,4.0107977291234524
fold4,fold,a0ab4ebce5f321df63ff6628c0eb950e3c49672f9e3af177e6e70272bc72e657,7647,333,4.354648881914476,7314,1.6971763859852245,2.8753797517299264,-0.7238921407030279,-6.178487201740716,4.73070292033466,5.454595061037688,0.6907910844385722,0.7092548844214367,0.8021442658421148,0.5852623252224778,1.6721589418483482,2054,1.6383877460794687,4615,2.1974793370274046,645,6311,1.5558514152473513,0.7500812221429842,0.7654662527723572,-0.6744895554152969,4.734279629028209
fold5,fold,083e0649067b29f79a9b060de19e3456d6b07e89ee41bdbe07ca5258463d8663,7647,824,10.77546750359618,6823,3.0178161220770394,5.550294981320339,-1.1406343388480922,-11.78779248343152,9.506523805735338,10.647158144583429,0.3271067814613313,0.3827950884690457,0.6055525296816542,0.32251383241458753,3.174126988364811,1893,2.858706466480995,4321,3.6608643190355896,609,6311,2.790260880787008,0.35801946731117007,0.40764206375244566,-1.0834734980090472,9.902734169841201
global,global,20cb99afb0f7455d3c2a71494b586930439b761bbb23482d1d05a977955186d0,7647,475,6.2115862429711,7172,1.4363238208466327,2.47124027044446,-0.3196724855343415,-5.122942459323182,4.4835974882544996,4.803269973788841,0.7536328925633962,0.7581703639440925,0.825997798884873,0.6418329985644695,1.4762155464433928,2007,1.3597105023885623,4533,1.8591489463177315,632,6311,1.242106318693525,0.8531576444857392,0.8581439286383139,-0.35136236813389915,3.505083042125757
