model,role,file,bytes,modified,sha256,matches_expected
fold1,fold,best_model_fold1.pt,170730314,2026-06-21T00:07:28,d8fc080614798a363ad9c36fbf6dd9783e9b445073fe77e9e3fc58f9644eda32,True
fold2,fold,best_model_fold2.pt,170730314,2026-06-21T06:07:41,07104cca50b27ae512f15728b8634c5edebec5bd07cd8a9d70d33f0addf28446,True
fold3,fold,best_model_fold3.pt,170730314,2026-06-21T11:47:19,6779803fd8085cd725e842dbd3d37d5092e818ce4510effd2297d505e3dc4f71,True
fold4,fold,best_model_fold4.pt,170730314,2026-06-21T18:23:09,a0ab4ebce5f321df63ff6628c0eb950e3c49672f9e3af177e6e70272bc72e657,True
fold5,fold,best_model_fold5.pt,170730314,2026-06-22T01:35:05,083e0649067b29f79a9b060de19e3456d6b07e89ee41bdbe07ca5258463d8663,True
global,global,best_model_global.pt,170731066,2026-06-22T10:24:47,20cb99afb0f7455d3c2a71494b586930439b761bbb23482d1d05a977955186d0,True
