metric,folds_mean,folds_sd,folds_min,folds_max,global,all6_mean,all6_sd,global_within_fold_range
flagged_pct,7.058977376749051,2.9985960304657175,3.687720674774422,10.77546750359618,6.2115862429711,6.917745521119393,2.7042450231825126,True
n,7107.2,229.30263844971344,6823.0,7365.0,7172.0,7118.0,206.79361692276674,True
mae,1.8939386049430813,0.6488377578751534,1.430594246428115,3.0178161220770394,1.4363238208466327,1.8176694742603399,0.6096673114135048,True
rmse,3.2482569221907847,1.3134292343865615,2.2745165423984446,5.550294981320339,2.47124027044446,3.1187541468997306,1.216841360178691,True
bias,-0.7494604139736565,0.25536807170355147,-1.1406343388480922,-0.4981849540759243,-0.3196724855343415,-0.6778290925671039,0.2880218027774375,False
loa_half,6.192324976294204,2.5343200665845442,4.350098940842071,10.647158144583429,4.803269973788841,5.960815809209977,2.33662181933206,True
icc,0.6420076392415712,0.18098149231001928,0.3271067814613313,0.7823313639873327,0.7536328925633962,0.660611848128542,0.16816700026125672,True
pearson_r,0.6650857741679872,0.16205515284566527,0.3827950884690457,0.7906239159999204,0.7581703639440925,0.6805998724640049,0.14984532534148842,True
spearman_rho,0.7659033008903947,0.09373163904854176,0.6055525296816542,0.8304541604254897,0.825997798884873,0.7759190505561411,0.08735208970129042,True
magnitude_r,0.5561631602313687,0.1361395689450102,0.32251383241458753,0.6579465263634969,0.6418329985644695,0.5704414666202188,0.12669019688211802,True
mae_varus,1.876296976056415,0.7365443368866205,1.3672719497371522,3.174126988364811,1.4762155464433928,1.809616737787578,0.6787308547674361,True
mae_neutral,1.8221692575736284,0.6067668017324466,1.3904961408459304,2.858706466480995,1.3597105023885623,1.7450927983761175,0.5746106897041259,False
mae_valgus,2.4669989986066296,0.697022854899865,1.9187986380889495,3.6608643190355896,1.8591489463177315,2.36569065655848,0.6710089188777419,False
common_mae,1.7190549110423532,0.622430298581215,1.2451568472277148,2.790260880787008,1.242106318693525,1.639563478984215,0.589787171696233,False
common_icc,0.7066788372041813,0.2010236255891125,0.35801946731117007,0.86709436306104,0.8531576444857392,0.7310919717511076,0.1894845779118483,True
